X,CH1,
Second,Volt,
2.5800002e-01,7.20000e-01,
2.5900000e-01,8.80000e-01,
2.5999999e-01,8.80000e-01,
2.6100001e-01,1.08000e+00,
2.6199999e-01,1.04000e+00,
2.6300001e-01,1.24000e+00,
2.6400000e-01,1.20000e+00,
2.6500002e-01,1.40000e+00,
2.6600000e-01,1.40000e+00,
2.6700002e-01,1.60000e+00,
2.6800001e-01,1.56000e+00,
2.6899999e-01,1.68000e+00,
2.7000001e-01,1.60000e+00,
2.7100000e-01,1.44000e+00,
2.7200001e-01,1.44000e+00,
2.7300000e-01,1.28000e+00,
2.7400002e-01,1.28000e+00,
2.7500001e-01,1.12000e+00,
2.7599999e-01,1.12000e+00,
2.7700001e-01,9.60000e-01,
2.7800000e-01,9.60000e-01,
2.7900001e-01,7.60000e-01,
2.8000000e-01,7.60000e-01,
2.8100002e-01,6.00000e-01,
2.8200001e-01,6.40000e-01,
2.8299999e-01,4.80000e-01,
2.8400001e-01,4.80000e-01,
2.8500000e-01,2.80000e-01,
2.8600001e-01,3.60000e-01,
2.8700000e-01,1.20000e-01,
2.8800002e-01,1.60000e-01,
2.8900000e-01,4.00000e-02,
2.8999999e-01,1.20000e-01,
2.9100001e-01,2.80000e-01,
2.9200000e-01,2.80000e-01,
2.9300001e-01,4.40000e-01,
2.9400000e-01,4.40000e-01,
2.9500002e-01,5.60000e-01,
